"","name","subect","celltype","cell","BAM","depth"
"BM1077_LMPP_12.hg19","BM1077_LMPP_12.hg19","BM1077","LMPP","12.hg19","BAMs/BM1077_LMPP_12.hg19_rCRSchrm.bam",38897
"BM1077_LMPP_13.hg19","BM1077_LMPP_13.hg19","BM1077","LMPP","13.hg19","BAMs/BM1077_LMPP_13.hg19_rCRSchrm.bam",15079
"BM1077_LMPP_14.hg19","BM1077_LMPP_14.hg19","BM1077","LMPP","14.hg19","BAMs/BM1077_LMPP_14.hg19_rCRSchrm.bam",10798
"BM1077_LMPP_15.hg19","BM1077_LMPP_15.hg19","BM1077","LMPP","15.hg19","BAMs/BM1077_LMPP_15.hg19_rCRSchrm.bam",17329
"BM1077_LMPP_16.hg19","BM1077_LMPP_16.hg19","BM1077","LMPP","16.hg19","BAMs/BM1077_LMPP_16.hg19_rCRSchrm.bam",37122
"BM1077_LMPP_18.hg19","BM1077_LMPP_18.hg19","BM1077","LMPP","18.hg19","BAMs/BM1077_LMPP_18.hg19_rCRSchrm.bam",26422
"BM1077_LMPP_19.hg19","BM1077_LMPP_19.hg19","BM1077","LMPP","19.hg19","BAMs/BM1077_LMPP_19.hg19_rCRSchrm.bam",9883
"BM1077_LMPP_1.hg19","BM1077_LMPP_1.hg19","BM1077","LMPP","1.hg19","BAMs/BM1077_LMPP_1.hg19_rCRSchrm.bam",11633
"BM1077_LMPP_20.hg19","BM1077_LMPP_20.hg19","BM1077","LMPP","20.hg19","BAMs/BM1077_LMPP_20.hg19_rCRSchrm.bam",16866
"BM1077_LMPP_21.hg19","BM1077_LMPP_21.hg19","BM1077","LMPP","21.hg19","BAMs/BM1077_LMPP_21.hg19_rCRSchrm.bam",11312
"BM1077_LMPP_23.hg19","BM1077_LMPP_23.hg19","BM1077","LMPP","23.hg19","BAMs/BM1077_LMPP_23.hg19_rCRSchrm.bam",21775
"BM1077_LMPP_28.hg19","BM1077_LMPP_28.hg19","BM1077","LMPP","28.hg19","BAMs/BM1077_LMPP_28.hg19_rCRSchrm.bam",16912
"BM1077_LMPP_29.hg19","BM1077_LMPP_29.hg19","BM1077","LMPP","29.hg19","BAMs/BM1077_LMPP_29.hg19_rCRSchrm.bam",13593
"BM1077_LMPP_2.hg19","BM1077_LMPP_2.hg19","BM1077","LMPP","2.hg19","BAMs/BM1077_LMPP_2.hg19_rCRSchrm.bam",17131
"BM1077_LMPP_31.hg19","BM1077_LMPP_31.hg19","BM1077","LMPP","31.hg19","BAMs/BM1077_LMPP_31.hg19_rCRSchrm.bam",14528
"BM1077_LMPP_38.hg19","BM1077_LMPP_38.hg19","BM1077","LMPP","38.hg19","BAMs/BM1077_LMPP_38.hg19_rCRSchrm.bam",30890
"BM1077_LMPP_39.hg19","BM1077_LMPP_39.hg19","BM1077","LMPP","39.hg19","BAMs/BM1077_LMPP_39.hg19_rCRSchrm.bam",21763
"BM1077_LMPP_3.hg19","BM1077_LMPP_3.hg19","BM1077","LMPP","3.hg19","BAMs/BM1077_LMPP_3.hg19_rCRSchrm.bam",19625
"BM1077_LMPP_40.hg19","BM1077_LMPP_40.hg19","BM1077","LMPP","40.hg19","BAMs/BM1077_LMPP_40.hg19_rCRSchrm.bam",14748
"BM1077_LMPP_41.hg19","BM1077_LMPP_41.hg19","BM1077","LMPP","41.hg19","BAMs/BM1077_LMPP_41.hg19_rCRSchrm.bam",9662
"BM1077_LMPP_42.hg19","BM1077_LMPP_42.hg19","BM1077","LMPP","42.hg19","BAMs/BM1077_LMPP_42.hg19_rCRSchrm.bam",20616
"BM1077_LMPP_44.hg19","BM1077_LMPP_44.hg19","BM1077","LMPP","44.hg19","BAMs/BM1077_LMPP_44.hg19_rCRSchrm.bam",20704
"BM1077_LMPP_45.hg19","BM1077_LMPP_45.hg19","BM1077","LMPP","45.hg19","BAMs/BM1077_LMPP_45.hg19_rCRSchrm.bam",13016
"BM1077_LMPP_47.hg19","BM1077_LMPP_47.hg19","BM1077","LMPP","47.hg19","BAMs/BM1077_LMPP_47.hg19_rCRSchrm.bam",23457
"BM1077_LMPP_48.hg19","BM1077_LMPP_48.hg19","BM1077","LMPP","48.hg19","BAMs/BM1077_LMPP_48.hg19_rCRSchrm.bam",24496
"BM1077_LMPP_49.hg19","BM1077_LMPP_49.hg19","BM1077","LMPP","49.hg19","BAMs/BM1077_LMPP_49.hg19_rCRSchrm.bam",15824
"BM1077_LMPP_4.hg19","BM1077_LMPP_4.hg19","BM1077","LMPP","4.hg19","BAMs/BM1077_LMPP_4.hg19_rCRSchrm.bam",12278
"BM1077_LMPP_51.hg19","BM1077_LMPP_51.hg19","BM1077","LMPP","51.hg19","BAMs/BM1077_LMPP_51.hg19_rCRSchrm.bam",23116
"BM1077_LMPP_52.hg19","BM1077_LMPP_52.hg19","BM1077","LMPP","52.hg19","BAMs/BM1077_LMPP_52.hg19_rCRSchrm.bam",28540
"BM1077_LMPP_54.hg19","BM1077_LMPP_54.hg19","BM1077","LMPP","54.hg19","BAMs/BM1077_LMPP_54.hg19_rCRSchrm.bam",21134
"BM1077_LMPP_56.hg19","BM1077_LMPP_56.hg19","BM1077","LMPP","56.hg19","BAMs/BM1077_LMPP_56.hg19_rCRSchrm.bam",16217
"BM1077_LMPP_57.hg19","BM1077_LMPP_57.hg19","BM1077","LMPP","57.hg19","BAMs/BM1077_LMPP_57.hg19_rCRSchrm.bam",12521
"BM1077_LMPP_58.hg19","BM1077_LMPP_58.hg19","BM1077","LMPP","58.hg19","BAMs/BM1077_LMPP_58.hg19_rCRSchrm.bam",10698
"BM1077_LMPP_59.hg19","BM1077_LMPP_59.hg19","BM1077","LMPP","59.hg19","BAMs/BM1077_LMPP_59.hg19_rCRSchrm.bam",18697
"BM1077_LMPP_5.hg19","BM1077_LMPP_5.hg19","BM1077","LMPP","5.hg19","BAMs/BM1077_LMPP_5.hg19_rCRSchrm.bam",14492
"BM1077_LMPP_60.hg19","BM1077_LMPP_60.hg19","BM1077","LMPP","60.hg19","BAMs/BM1077_LMPP_60.hg19_rCRSchrm.bam",23122
"BM1077_LMPP_61.hg19","BM1077_LMPP_61.hg19","BM1077","LMPP","61.hg19","BAMs/BM1077_LMPP_61.hg19_rCRSchrm.bam",8892
"BM1077_LMPP_63.hg19","BM1077_LMPP_63.hg19","BM1077","LMPP","63.hg19","BAMs/BM1077_LMPP_63.hg19_rCRSchrm.bam",15902
"BM1077_LMPP_64.hg19","BM1077_LMPP_64.hg19","BM1077","LMPP","64.hg19","BAMs/BM1077_LMPP_64.hg19_rCRSchrm.bam",23512
"BM1077_LMPP_65.hg19","BM1077_LMPP_65.hg19","BM1077","LMPP","65.hg19","BAMs/BM1077_LMPP_65.hg19_rCRSchrm.bam",34520
"BM1077_LMPP_66.hg19","BM1077_LMPP_66.hg19","BM1077","LMPP","66.hg19","BAMs/BM1077_LMPP_66.hg19_rCRSchrm.bam",22105
"BM1077_LMPP_68.hg19","BM1077_LMPP_68.hg19","BM1077","LMPP","68.hg19","BAMs/BM1077_LMPP_68.hg19_rCRSchrm.bam",19947
"BM1077_LMPP_70.hg19","BM1077_LMPP_70.hg19","BM1077","LMPP","70.hg19","BAMs/BM1077_LMPP_70.hg19_rCRSchrm.bam",46185
"BM1077_LMPP_71.hg19","BM1077_LMPP_71.hg19","BM1077","LMPP","71.hg19","BAMs/BM1077_LMPP_71.hg19_rCRSchrm.bam",20790
"BM1077_LMPP_75.hg19","BM1077_LMPP_75.hg19","BM1077","LMPP","75.hg19","BAMs/BM1077_LMPP_75.hg19_rCRSchrm.bam",10107
"BM1077_LMPP_77.hg19","BM1077_LMPP_77.hg19","BM1077","LMPP","77.hg19","BAMs/BM1077_LMPP_77.hg19_rCRSchrm.bam",19349
"BM1077_LMPP_78.hg19","BM1077_LMPP_78.hg19","BM1077","LMPP","78.hg19","BAMs/BM1077_LMPP_78.hg19_rCRSchrm.bam",31651
