"subject" "BAM"
"SU070_Blast_1" "SU070" "SRR2775638.hg19_rCRSchrm.bam"
"SU070_Blast_3" "SU070" "SRR2775641.hg19_rCRSchrm.bam"
"SU070_Blast_4" "SU070" "SRR2775643.hg19_rCRSchrm.bam"
"SU070_Blast_5" "SU070" "SRR2775645.hg19_rCRSchrm.bam"
"SU070_Blast_7" "SU070" "SRR2775649.hg19_rCRSchrm.bam"
"SU070_Blast_13" "SU070" "SRR2775660.hg19_rCRSchrm.bam"
"SU070_Blast_20" "SU070" "SRR2775673.hg19_rCRSchrm.bam"
"SU070_Blast_21" "SU070" "SRR2775675.hg19_rCRSchrm.bam"
"SU070_Blast_22" "SU070" "SRR2775677.hg19_rCRSchrm.bam"
"SU070_Blast_25" "SU070" "SRR2775683.hg19_rCRSchrm.bam"
"SU070_Blast_26" "SU070" "SRR2775685.hg19_rCRSchrm.bam"
"SU070_Blast_27" "SU070" "SRR2775687.hg19_rCRSchrm.bam"
"SU070_Blast_32" "SU070" "SRR2775694.hg19_rCRSchrm.bam"
"SU070_Blast_33" "SU070" "SRR2775695.hg19_rCRSchrm.bam"
"SU070_Blast_34" "SU070" "SRR2775696.hg19_rCRSchrm.bam"
"SU070_Blast_36" "SU070" "SRR2775698.hg19_rCRSchrm.bam"
"SU070_Blast_37" "SU070" "SRR2775699.hg19_rCRSchrm.bam"
"SU070_Blast_39" "SU070" "SRR2775701.hg19_rCRSchrm.bam"
"SU070_Blast_43" "SU070" "SRR2775705.hg19_rCRSchrm.bam"
"SU070_Blast_46" "SU070" "SRR2775708.hg19_rCRSchrm.bam"
"SU070_Blast_50" "SU070" "SRR2775712.hg19_rCRSchrm.bam"
"SU070_Blast_51" "SU070" "SRR2775713.hg19_rCRSchrm.bam"
"SU070_Blast_55" "SU070" "SRR2775717.hg19_rCRSchrm.bam"
"SU070_Blast_56" "SU070" "SRR2775718.hg19_rCRSchrm.bam"
"SU070_Blast_57" "SU070" "SRR2775719.hg19_rCRSchrm.bam"
"SU070_Blast_61" "SU070" "SRR2775723.hg19_rCRSchrm.bam"
"SU070_Blast_63" "SU070" "SRR2775725.hg19_rCRSchrm.bam"
"SU070_Blast_64" "SU070" "SRR2775726.hg19_rCRSchrm.bam"
"SU070_Blast_68" "SU070" "SRR2775730.hg19_rCRSchrm.bam"
"SU070_Blast_69" "SU070" "SRR2775731.hg19_rCRSchrm.bam"
"SU070_Blast_70" "SU070" "SRR2775732.hg19_rCRSchrm.bam"
"SU070_Blast_71" "SU070" "SRR2775733.hg19_rCRSchrm.bam"
"SU070_Blast_73" "SU070" "SRR2775735.hg19_rCRSchrm.bam"
"SU070_Blast_75" "SU070" "SRR2775737.hg19_rCRSchrm.bam"
"SU070_Blast_77" "SU070" "SRR2775739.hg19_rCRSchrm.bam"
"SU070_Blast_79" "SU070" "SRR2775741.hg19_rCRSchrm.bam"
"SU070_Blast_80" "SU070" "SRR2775742.hg19_rCRSchrm.bam"
"SU070_Blast_81" "SU070" "SRR2775743.hg19_rCRSchrm.bam"
"SU070_Blast_82" "SU070" "SRR2775744.hg19_rCRSchrm.bam"
"SU070_Blast_86" "SU070" "SRR2775748.hg19_rCRSchrm.bam"
"SU070_Blast_87" "SU070" "SRR2775749.hg19_rCRSchrm.bam"
"SU070_Blast_91" "SU070" "SRR2775753.hg19_rCRSchrm.bam"
"SU070_Blast_93" "SU070" "SRR2775755.hg19_rCRSchrm.bam"
"SU070_LSC_1" "SU070" "SRR2775759.hg19_rCRSchrm.bam"
"SU070_LSC_5" "SU070" "SRR2775763.hg19_rCRSchrm.bam"
"SU070_LSC_6" "SU070" "SRR2775764.hg19_rCRSchrm.bam"
"SU070_LSC_9" "SU070" "SRR2775767.hg19_rCRSchrm.bam"
"SU070_LSC_10" "SU070" "SRR2775768.hg19_rCRSchrm.bam"
"SU070_LSC_12" "SU070" "SRR2775770.hg19_rCRSchrm.bam"
"SU070_LSC_16" "SU070" "SRR2775774.hg19_rCRSchrm.bam"
"SU070_LSC_17" "SU070" "SRR2775775.hg19_rCRSchrm.bam"
"SU070_LSC_19" "SU070" "SRR2775777.hg19_rCRSchrm.bam"
"SU070_LSC_22" "SU070" "SRR2775780.hg19_rCRSchrm.bam"
"SU070_LSC_23" "SU070" "SRR2775781.hg19_rCRSchrm.bam"
"SU070_LSC_24" "SU070" "SRR2775782.hg19_rCRSchrm.bam"
"SU070_LSC_25" "SU070" "SRR2775783.hg19_rCRSchrm.bam"
"SU070_LSC_26" "SU070" "SRR2775784.hg19_rCRSchrm.bam"
"SU070_LSC_27" "SU070" "SRR2775785.hg19_rCRSchrm.bam"
"SU070_LSC_28" "SU070" "SRR2775786.hg19_rCRSchrm.bam"
"SU070_LSC_29" "SU070" "SRR2775787.hg19_rCRSchrm.bam"
"SU070_LSC_30" "SU070" "SRR2775788.hg19_rCRSchrm.bam"
"SU070_LSC_32" "SU070" "SRR2775790.hg19_rCRSchrm.bam"
"SU070_LSC_34" "SU070" "SRR2775792.hg19_rCRSchrm.bam"
"SU070_LSC_35" "SU070" "SRR2775793.hg19_rCRSchrm.bam"
"SU070_LSC_36" "SU070" "SRR2775794.hg19_rCRSchrm.bam"
"SU070_LSC_37" "SU070" "SRR2775795.hg19_rCRSchrm.bam"
"SU070_LSC_40" "SU070" "SRR2775798.hg19_rCRSchrm.bam"
"SU070_LSC_41" "SU070" "SRR2775799.hg19_rCRSchrm.bam"
"SU070_LSC_42" "SU070" "SRR2775800.hg19_rCRSchrm.bam"
"SU070_LSC_43" "SU070" "SRR2775801.hg19_rCRSchrm.bam"
"SU070_LSC_44" "SU070" "SRR2775802.hg19_rCRSchrm.bam"
"SU070_LSC_47" "SU070" "SRR2775805.hg19_rCRSchrm.bam"
"SU070_LSC_48" "SU070" "SRR2775806.hg19_rCRSchrm.bam"
"SU070_LSC_49" "SU070" "SRR2775807.hg19_rCRSchrm.bam"
"SU070_LSC_51" "SU070" "SRR2775809.hg19_rCRSchrm.bam"
"SU070_LSC_52" "SU070" "SRR2775810.hg19_rCRSchrm.bam"
"SU070_LSC_56" "SU070" "SRR2775814.hg19_rCRSchrm.bam"
"SU070_LSC_57" "SU070" "SRR2775815.hg19_rCRSchrm.bam"
"SU070_LSC_58" "SU070" "SRR2775816.hg19_rCRSchrm.bam"
"SU070_LSC_59" "SU070" "SRR2775817.hg19_rCRSchrm.bam"
"SU070_LSC_60" "SU070" "SRR2775818.hg19_rCRSchrm.bam"
"SU070_LSC_64" "SU070" "SRR2775822.hg19_rCRSchrm.bam"
"SU070_LSC_65" "SU070" "SRR2775823.hg19_rCRSchrm.bam"
"SU070_LSC_66" "SU070" "SRR2775824.hg19_rCRSchrm.bam"
"SU070_LSC_68" "SU070" "SRR2775827.hg19_rCRSchrm.bam"
"SU070_LSC_70" "SU070" "SRR2775830.hg19_rCRSchrm.bam"
"SU070_LSC_71" "SU070" "SRR2775831.hg19_rCRSchrm.bam"
"SU070_LSC_75" "SU070" "SRR2775837.hg19_rCRSchrm.bam"
"SU070_LSC_77" "SU070" "SRR2775840.hg19_rCRSchrm.bam"
"SU070_LSC_78" "SU070" "SRR2775842.hg19_rCRSchrm.bam"
"SU070_LSC_82" "SU070" "SRR2775848.hg19_rCRSchrm.bam"
"SU070_LSC_88" "SU070" "SRR2775857.hg19_rCRSchrm.bam"
"SU353_Blast_1" "SU353" "SRR3985831.hg19_rCRSchrm.bam"
"SU353_Blast_3" "SU353" "SRR3985833.hg19_rCRSchrm.bam"
"SU353_Blast_4" "SU353" "SRR3985834.hg19_rCRSchrm.bam"
"SU353_Blast_5" "SU353" "SRR3985835.hg19_rCRSchrm.bam"
"SU353_Blast_6" "SU353" "SRR3985836.hg19_rCRSchrm.bam"
"SU353_Blast_8" "SU353" "SRR3985838.hg19_rCRSchrm.bam"
"SU353_Blast_13" "SU353" "SRR3985843.hg19_rCRSchrm.bam"
"SU353_Blast_14" "SU353" "SRR3985844.hg19_rCRSchrm.bam"
"SU353_Blast_15" "SU353" "SRR3985845.hg19_rCRSchrm.bam"
"SU353_Blast_16" "SU353" "SRR3985846.hg19_rCRSchrm.bam"
"SU353_Blast_17" "SU353" "SRR3985847.hg19_rCRSchrm.bam"
"SU353_Blast_20" "SU353" "SRR3985850.hg19_rCRSchrm.bam"
"SU353_Blast_21" "SU353" "SRR3985851.hg19_rCRSchrm.bam"
"SU353_Blast_25" "SU353" "SRR3985855.hg19_rCRSchrm.bam"
"SU353_Blast_26" "SU353" "SRR3985856.hg19_rCRSchrm.bam"
"SU353_Blast_27" "SU353" "SRR3985857.hg19_rCRSchrm.bam"
"SU353_Blast_29" "SU353" "SRR3985859.hg19_rCRSchrm.bam"
"SU353_Blast_30" "SU353" "SRR3985860.hg19_rCRSchrm.bam"
"SU353_Blast_32" "SU353" "SRR3985862.hg19_rCRSchrm.bam"
"SU353_Blast_33" "SU353" "SRR3985863.hg19_rCRSchrm.bam"
"SU353_Blast_34" "SU353" "SRR3985864.hg19_rCRSchrm.bam"
"SU353_Blast_35" "SU353" "SRR3985865.hg19_rCRSchrm.bam"
"SU353_Blast_37" "SU353" "SRR3985867.hg19_rCRSchrm.bam"
"SU353_Blast_40" "SU353" "SRR3985870.hg19_rCRSchrm.bam"
"SU353_Blast_44" "SU353" "SRR3985874.hg19_rCRSchrm.bam"
"SU353_Blast_45" "SU353" "SRR3985875.hg19_rCRSchrm.bam"
"SU353_Blast_46" "SU353" "SRR3985876.hg19_rCRSchrm.bam"
"SU353_Blast_49" "SU353" "SRR3985879.hg19_rCRSchrm.bam"
"SU353_Blast_50" "SU353" "SRR3985880.hg19_rCRSchrm.bam"
"SU353_Blast_51" "SU353" "SRR3985881.hg19_rCRSchrm.bam"
"SU353_Blast_53" "SU353" "SRR3985883.hg19_rCRSchrm.bam"
"SU353_Blast_54" "SU353" "SRR3985884.hg19_rCRSchrm.bam"
"SU353_Blast_55" "SU353" "SRR3985885.hg19_rCRSchrm.bam"
"SU353_Blast_56" "SU353" "SRR3985886.hg19_rCRSchrm.bam"
"SU353_Blast_57" "SU353" "SRR3985887.hg19_rCRSchrm.bam"
"SU353_Blast_58" "SU353" "SRR3985888.hg19_rCRSchrm.bam"
"SU353_Blast_61" "SU353" "SRR3985892.hg19_rCRSchrm.bam"
"SU353_Blast_62" "SU353" "SRR3985893.hg19_rCRSchrm.bam"
"SU353_Blast_63" "SU353" "SRR3985894.hg19_rCRSchrm.bam"
"SU353_Blast_64" "SU353" "SRR3985895.hg19_rCRSchrm.bam"
"SU353_Blast_69" "SU353" "SRR3985900.hg19_rCRSchrm.bam"
"SU353_Blast_71" "SU353" "SRR3985902.hg19_rCRSchrm.bam"
"SU353_Blast_72" "SU353" "SRR3985903.hg19_rCRSchrm.bam"
"SU353_Blast_74" "SU353" "SRR3985905.hg19_rCRSchrm.bam"
"SU353_Blast_75" "SU353" "SRR3985906.hg19_rCRSchrm.bam"
"SU353_Blast_78" "SU353" "SRR3985909.hg19_rCRSchrm.bam"
"SU353_Blast_81" "SU353" "SRR3985912.hg19_rCRSchrm.bam"
"SU353_Blast_82" "SU353" "SRR3985913.hg19_rCRSchrm.bam"
"SU353_Blast_83" "SU353" "SRR3985914.hg19_rCRSchrm.bam"
"SU353_Blast_85" "SU353" "SRR3985916.hg19_rCRSchrm.bam"
"SU353_Blast_86" "SU353" "SRR3985917.hg19_rCRSchrm.bam"
"SU353_Blast_88" "SU353" "SRR3985919.hg19_rCRSchrm.bam"
"SU353_Blast_95" "SU353" "SRR3985926.hg19_rCRSchrm.bam"
"SU353_LSC_1" "SU353" "SRR3985928.hg19_rCRSchrm.bam"
"SU353_LSC_3" "SU353" "SRR3985930.hg19_rCRSchrm.bam"
"SU353_LSC_5" "SU353" "SRR3985932.hg19_rCRSchrm.bam"
"SU353_LSC_6" "SU353" "SRR3985933.hg19_rCRSchrm.bam"
"SU353_LSC_7" "SU353" "SRR3985934.hg19_rCRSchrm.bam"
"SU353_LSC_10" "SU353" "SRR3985937.hg19_rCRSchrm.bam"
"SU353_LSC_11" "SU353" "SRR3985938.hg19_rCRSchrm.bam"
"SU353_LSC_19" "SU353" "SRR3985946.hg19_rCRSchrm.bam"
"SU353_LSC_23" "SU353" "SRR3985950.hg19_rCRSchrm.bam"
"SU353_LSC_24" "SU353" "SRR3985951.hg19_rCRSchrm.bam"
"SU353_LSC_25" "SU353" "SRR3985952.hg19_rCRSchrm.bam"
"SU353_LSC_28" "SU353" "SRR3985955.hg19_rCRSchrm.bam"
"SU353_LSC_29" "SU353" "SRR3985956.hg19_rCRSchrm.bam"
"SU353_LSC_30" "SU353" "SRR3985957.hg19_rCRSchrm.bam"
"SU353_LSC_35" "SU353" "SRR3985962.hg19_rCRSchrm.bam"
"SU353_LSC_36" "SU353" "SRR3985963.hg19_rCRSchrm.bam"
"SU353_LSC_37" "SU353" "SRR3985964.hg19_rCRSchrm.bam"
"SU353_LSC_39" "SU353" "SRR3985966.hg19_rCRSchrm.bam"
"SU353_LSC_43" "SU353" "SRR3985970.hg19_rCRSchrm.bam"
"SU353_LSC_44" "SU353" "SRR3985971.hg19_rCRSchrm.bam"
"SU353_LSC_47" "SU353" "SRR3985974.hg19_rCRSchrm.bam"
"SU353_LSC_49" "SU353" "SRR3985976.hg19_rCRSchrm.bam"
"SU353_LSC_50" "SU353" "SRR3985977.hg19_rCRSchrm.bam"
"SU353_LSC_51" "SU353" "SRR3985978.hg19_rCRSchrm.bam"
"SU353_LSC_52" "SU353" "SRR3985979.hg19_rCRSchrm.bam"
"SU353_LSC_53" "SU353" "SRR3985980.hg19_rCRSchrm.bam"
"SU353_LSC_54" "SU353" "SRR3985981.hg19_rCRSchrm.bam"
"SU353_LSC_59" "SU353" "SRR3985986.hg19_rCRSchrm.bam"
"SU353_LSC_60" "SU353" "SRR3985987.hg19_rCRSchrm.bam"
"SU353_LSC_61" "SU353" "SRR3985988.hg19_rCRSchrm.bam"
"SU353_LSC_62" "SU353" "SRR3985989.hg19_rCRSchrm.bam"
"SU353_LSC_63" "SU353" "SRR3985990.hg19_rCRSchrm.bam"
"SU353_LSC_64" "SU353" "SRR3985991.hg19_rCRSchrm.bam"
"SU353_LSC_66" "SU353" "SRR3985993.hg19_rCRSchrm.bam"
"SU353_LSC_67" "SU353" "SRR3985994.hg19_rCRSchrm.bam"
"SU353_LSC_68" "SU353" "SRR3985995.hg19_rCRSchrm.bam"
"SU353_LSC_71" "SU353" "SRR3985998.hg19_rCRSchrm.bam"
"SU353_LSC_73" "SU353" "SRR3986000.hg19_rCRSchrm.bam"
"SU353_LSC_75" "SU353" "SRR3986002.hg19_rCRSchrm.bam"
"SU353_LSC_76" "SU353" "SRR3986003.hg19_rCRSchrm.bam"
"SU353_LSC_77" "SU353" "SRR3986004.hg19_rCRSchrm.bam"
"SU353_LSC_78" "SU353" "SRR3986005.hg19_rCRSchrm.bam"
"SU353_LSC_80" "SU353" "SRR3986007.hg19_rCRSchrm.bam"
"SU353_LSC_82" "SU353" "SRR3986009.hg19_rCRSchrm.bam"
"SU353_LSC_83" "SU353" "SRR3986010.hg19_rCRSchrm.bam"
"SU353_LSC_85" "SU353" "SRR3986012.hg19_rCRSchrm.bam"
"SU353_LSC_87" "SU353" "SRR3986014.hg19_rCRSchrm.bam"
