"SRR" "source" "donor" "BAM" "keep" "stub" "name"
"SRR2775638" "SRR2775638" "Blast" "SU070" "SRR2775638.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_1"
"SRR2775639" "SRR2775639" "Blast" "SU070" "SRR2775639.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_2"
"SRR2775641" "SRR2775641" "Blast" "SU070" "SRR2775641.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_3"
"SRR2775643" "SRR2775643" "Blast" "SU070" "SRR2775643.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_4"
"SRR2775645" "SRR2775645" "Blast" "SU070" "SRR2775645.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_5"
"SRR2775647" "SRR2775647" "Blast" "SU070" "SRR2775647.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_6"
"SRR2775649" "SRR2775649" "Blast" "SU070" "SRR2775649.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_7"
"SRR2775651" "SRR2775651" "Blast" "SU070" "SRR2775651.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_8"
"SRR2775653" "SRR2775653" "Blast" "SU070" "SRR2775653.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_9"
"SRR2775654" "SRR2775654" "Blast" "SU070" "SRR2775654.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_10"
"SRR2775656" "SRR2775656" "Blast" "SU070" "SRR2775656.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_11"
"SRR2775658" "SRR2775658" "Blast" "SU070" "SRR2775658.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_12"
"SRR2775660" "SRR2775660" "Blast" "SU070" "SRR2775660.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_13"
"SRR2775662" "SRR2775662" "Blast" "SU070" "SRR2775662.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_14"
"SRR2775664" "SRR2775664" "Blast" "SU070" "SRR2775664.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_15"
"SRR2775666" "SRR2775666" "Blast" "SU070" "SRR2775666.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_16"
